,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
0,1990,5645860.0,29.743353585862604,,43.291561126709006,82.7758331298828,8.291597908923299,71688.0,24.4892939617124,58.652858348277995,292732.0,9625890.636864,India
1,1991,5724241.0,31.5873365126957,,44.938995361328104,83.3821182250977,8.548366552080969,72814.0,22.8074022101386,57.6047933357271,319256.0,9937091.461536,India
2,1992,5794445.0,33.4554976334482,,46.5859222412109,83.9882278442383,8.40018852696283,69974.0,20.7526521363897,57.23056748457271,337181.0,10124737.976016,India
3,1993,5825789.0,38.7,,50.9,82.8,8.21116167819759,70577.0,19.5588133409081,56.9833633428903,360845.0,10223666.449703999,India
4,1994,5889504.0,37.195902503781795,,49.8675346374512,85.1963272094727,7.9941130108098495,82927.0,21.21909967171,55.5571874605853,390813.0,10600795.809144,India
5,1995,5915133.0,39.0613479513863,,51.4961051940918,85.796257019043,7.858160303171151,73126.0,17.2605391115517,54.4841170038941,423660.0,10856619.00252,India
6,1996,5955321.0,40.917532222735204,,53.1124382019043,86.3920669555664,7.53016367474512,69854.0,15.7672939365417,53.767409699754,443031.0,11076079.419216,India
7,1997,6027971.0,42.7613123992003,,54.713474273681605,86.9827194213867,7.52418202136383,75700.0,16.015130807865,52.4880731033173,472678.0,11484458.551439999,India
8,1998,6104928.0,44.58886310464379,,56.2961578369141,87.5671844482422,7.25603779427374,84132.0,16.7011082856411,52.7122557076625,503751.0,11581610.230944,India
9,1999,6172063.0,48.1,,60.1,91.3,7.0505470785197195,83274.0,15.2580757461935,51.7172937036599,545770.0,11934234.291852001,India
10,2000,6231016.0,48.181628673275796,22.15,59.3957443237305,88.7140884399414,6.94959487076476,77426.0,13.590948027692402,51.5793476223734,569688.0,12080447.479908,India
11,2001,6298836.0,43.6,23.85,55.8,87.6,6.72480637599239,77680.0,13.2070435298578,51.7872192257844,588171.0,12162916.051811999,India
12,2002,6363576.0,51.4599656790939,25.01,62.3,89.8399200439453,6.67200102251513,73597.0,12.055161162453198,50.569442655726206,610502.0,12583836.534096,India
13,2003,6468599.0,53.3333017676252,25.93,63.9244918823242,90.40172576904301,6.33392172930991,87664.0,13.4694247561217,50.842799057757304,650837.0,12722743.672416,India
14,2004,6600165.0,53.599919892063205,27.41,64.4,90.96656036376949,6.181107871464059,99059.0,14.4825005007376,49.724024605246804,683991.0,13273593.705252001,India
15,2005,6752224.0,56.767529101516,28.34,66.9324493408203,91.53722381591801,5.87751946572999,118935.0,16.6190180757235,48.575308751226395,715656.0,13900527.188784,India
16,2006,6904236.0,55.7,29.74,67.9,93.1,5.66184904777442,135725.0,17.5404247180092,47.4437217093748,773784.0,14552475.546276001,India
17,2007,7041745.0,60.294701557839794,30.95,69.9880218505859,92.7073287963867,5.507649298536429,147122.0,17.8640856862195,45.867803519534796,823563.0,15352261.193412,India
18,2008,7130872.0,62.1101038287165,32.06,71.5473175048828,93.3116302490235,5.562142409976031,140062.0,16.5098337370558,43.6328830116274,848355.0,16342885.245744001,India
19,2009,7236991.0,66.0,32.82,75.0,96.1,5.6467119320193895,143650.0,15.6600552489802,40.770827588581206,917302.0,17750414.764764,India
20,2010,7376893.0,65.7,34.4,76.3,94.0,5.35317924225662,157135.0,16.043744435459498,39.4815087312075,979416.0,18684425.284307998,India
21,2011,7553407.0,55.8,35.42,67.6,92.9,5.23298571103505,186077.0,17.316962856526,38.931740213946206,1074536.0,19401668.04384,India
22,2012,7628053.0,72.7,36.64,79.9,96.1,5.19964331645046,176689.0,15.732973360913,38.3908901522843,1123049.0,19869435.091872,India
23,2013,7791782.0,71.65504757065341,37.81,79.5991134643555,96.4849090576172,4.9886254400501695,206622.0,17.3493138262499,37.84984117849721,1193480.0,20586036.182435997,India
24,2014,7903163.0,73.6316231707346,38.8,81.2395095825195,97.13742065429692,4.96014949895526,210273.0,16.2538398153488,36.651837856374,1287398.0,21562801.382484,India
25,2015,8011645.0,83.2,39.88,88.0,97.5,4.730910448553139,212195.0,15.343050345479801,36.021222565281704,1383004.0,22241457.755856,India
26,2016,,77.6286901645437,41.04,84.5268173217773,98.4463119506836,,,,,,,India
0,1990,34713.48,100.0,,100.0,100.0,5.657871280533691,5811.0,1.82876744661768,0.6511339784235172,317755.0,5331234.607668,UK
1,1991,33864.15,100.0,,100.0,100.0,5.924850843612231,5323.0,1.65643904503473,0.6082641311365781,321352.0,5567342.9134680005,UK
2,1992,45786.89,100.0,,100.0,100.0,5.87744270248762,6405.0,2.00566157083539,0.8407377955689591,319346.0,5446036.83114,UK
3,1993,42888.41,100.0,,100.0,100.0,5.784632536902519,5718.0,1.77762579080721,0.775204971316571,321665.0,5532525.149724,UK
4,1994,56409.38,100.0,,100.0,100.0,5.604070687830959,6955.0,2.13984198089987,1.02142848392085,325024.0,5522597.116487999,UK
5,1995,58327.85,100.0,,100.0,100.0,5.475482918320769,6871.0,2.06653453196948,1.0602290988460301,332489.0,5501438.327196,UK
6,1996,54952.71,100.0,,100.0,100.0,5.56311124752267,5685.0,1.6274802254711398,0.9435868971276659,349313.0,5823810.204156,UK
7,1997,58459.55,100.0,,100.0,100.0,5.24372885145002,6946.0,1.9892319147717499,1.02847968902927,349180.0,5684074.330644,UK
8,1998,58632.24,100.0,,100.0,100.0,5.122968916780549,8649.0,2.39532069159381,1.02970432391514,361079.0,5694085.053180001,UK
9,1999,55021.74,100.0,,100.0,100.0,4.98091612188099,9616.0,2.6327173169062297,0.9489176570480621,365250.0,5798368.234728,UK
10,2000,56057.06,100.0,100.0,100.0,100.0,4.81793687756031,9970.0,2.66310517529215,0.961901516319544,374375.0,5827733.821908,UK
11,2001,50250.52,100.0,100.0,100.0,100.0,4.7056822160994605,9549.0,2.49733241275421,0.8528674660286208,382368.0,5891949.45306,UK
12,2002,55670.19,100.0,100.0,100.0,100.0,4.48998981896257,11127.0,2.89317333818692,0.9700712480097728,384595.0,5738773.323528,UK
13,2003,54084.69,100.0,100.0,100.0,100.0,4.41946228948578,10618.0,2.68494730240932,0.934980336780085,395473.0,5784580.474308,UK
14,2004,66016.19,100.0,100.0,100.0,100.0,4.2936071041826,14137.0,3.6130321663880895,1.1372583296586598,391287.0,5804854.38342,UK
15,2005,77836.54,100.0,100.0,100.0,100.0,4.18819530567367,16938.0,4.28348161223592,1.3522797381444902,395425.0,5755949.586792,UK
16,2006,87957.64,100.0,100.0,100.0,100.0,4.0120973786369,18106.0,4.602089317032259,1.55391999101972,393429.0,5660371.222992,UK
